country,os,count,day,month,weekday,ordinal_day
YX,W,11557,7,2,3,38
YX,X,77991,7,2,3,38
YX,Y,312418,7,2,3,38
YY,W,12165,7,2,3,38
YY,X,538529,7,2,3,38
YY,Y,3817088,7,2,3,38
YZ,W,70,7,2,3,38
YZ,X,12999,7,2,3,38
YZ,Y,13527,7,2,3,38
ZX,W,528,7,2,3,38
ZX,X,58241,7,2,3,38
ZX,Y,144855,7,2,3,38
XX,T,76,8,2,4,39
XX,W,385921,8,2,4,39
XX,X,1537185,8,2,4,39
XX,Y,4542859,8,2,4,39
XY,T,10,8,2,4,39
XY,W,17918,8,2,4,39
XY,X,390942,8,2,4,39
XY,Y,1134849,8,2,4,39
XZ,W,23634,8,2,4,39
XZ,X,207760,8,2,4,39
XZ,Y,854824,8,2,4,39
YX,W,12108,8,2,4,39
YX,X,79109,8,2,4,39
YX,Y,322617,8,2,4,39
YY,T,1,8,2,4,39
YY,W,10476,8,2,4,39
YY,X,526555,8,2,4,39
YY,Y,3627576,8,2,4,39
YZ,W,67,8,2,4,39
YZ,X,14045,8,2,4,39
YZ,Y,13647,8,2,4,39
ZX,T,1,8,2,4,39
ZX,W,581,8,2,4,39
ZX,X,60105,8,2,4,39
ZX,Y,147617,8,2,4,39
XX,T,74,9,2,5,40
XX,W,376367,9,2,5,40
XX,X,1459613,9,2,5,40
XX,Y,4467236,9,2,5,40
XY,T,4,9,2,5,40
XY,W,20540,9,2,5,40
XY,X,367412,9,2,5,40
XY,Y,1121361,9,2,5,40
XZ,T,2,9,2,5,40
XZ,W,23019,9,2,5,40
XZ,X,192347,9,2,5,40
XZ,Y,823325,9,2,5,40
YX,T,1,9,2,5,40
YX,W,10849,9,2,5,40
YX,X,69980,9,2,5,40
YX,Y,305118,9,2,5,40
YY,T,6,9,2,5,40
YY,W,10934,9,2,5,40
YY,X,516111,9,2,5,40
YY,Y,3685806,9,2,5,40
YZ,W,67,9,2,5,40
YZ,X,12764,9,2,5,40
YZ,Y,13916,9,2,5,40
ZX,W,510,9,2,5,40
ZX,X,57925,9,2,5,40
ZX,Y,145739,9,2,5,40
XX,T,65,10,2,6,41
XX,W,332169,10,2,6,41
XX,X,1260333,10,2,6,41
XX,Y,4130763,10,2,6,41
XY,T,9,10,2,6,41
XY,W,16042,10,2,6,41
XY,X,329057,10,2,6,41
XY,Y,1038104,10,2,6,41
XZ,T,1,10,2,6,41
XZ,W,22583,10,2,6,41
XZ,X,188981,10,2,6,41
XZ,Y,834831,10,2,6,41
YX,W,11505,10,2,6,41
YX,X,74734,10,2,6,41
YX,Y,313134,10,2,6,41
YY,T,6,10,2,6,41
YY,W,9617,10,2,6,41
YY,X,477533,10,2,6,41
YY,Y,3381044,10,2,6,41
YZ,W,54,10,2,6,41
YZ,X,11778,10,2,6,41
YZ,Y,13339,10,2,6,41
ZX,W,495,10,2,6,41
ZX,X,55672,10,2,6,41
ZX,Y,141691,10,2,6,41
XX,T,68,11,2,7,42
XX,W,310418,11,2,7,42
XX,X,1217945,11,2,7,42
XX,Y,3956415,11,2,7,42
XY,T,7,11,2,7,42
XY,W,17905,11,2,7,42
XY,X,322282,11,2,7,42
XY,Y,999753,11,2,7,42
XZ,T,4,11,2,7,42
XZ,W,21403,11,2,7,42
XZ,X,186060,11,2,7,42
XZ,Y,806744,11,2,7,42
YX,W,11807,11,2,7,42
YX,X,80271,11,2,7,42
YX,Y,319208,11,2,7,42
YY,T,3,11,2,7,42
YY,W,9328,11,2,7,42
YY,X,471901,11,2,7,42
YY,Y,3334840,11,2,7,42
YZ,W,54,11,2,7,42
YZ,X,11839,11,2,7,42
YZ,Y,12562,11,2,7,42
ZX,T,1,11,2,7,42
ZX,W,482,11,2,7,42
ZX,X,53529,11,2,7,42
ZX,Y,138086,11,2,7,42
XX,T,189,12,2,1,43
XX,W,360969,12,2,1,43
XX,X,1425654,12,2,1,43
XX,Y,4365568,12,2,1,43
XY,T,13,12,2,1,43
XY,W,20783,12,2,1,43
XY,X,364911,12,2,1,43
XY,Y,1101049,12,2,1,43
XZ,T,3,12,2,1,43
XZ,W,22360,12,2,1,43
XZ,X,188091,12,2,1,43
XZ,Y,811502,12,2,1,43
YX,W,11751,12,2,1,43
YX,X,79875,12,2,1,43
YX,Y,318055,12,2,1,43
YY,T,3,12,2,1,43
YY,W,11948,12,2,1,43
YY,X,535994,12,2,1,43
YY,Y,3837343,12,2,1,43
YZ,W,47,12,2,1,43
YZ,X,12792,12,2,1,43
YZ,Y,13960,12,2,1,43
ZX,T,4,12,2,1,43
ZX,W,541,12,2,1,43
ZX,X,57951,12,2,1,43
ZX,Y,145171,12,2,1,43
XX,T,78,13,2,2,44
XX,W,377108,13,2,2,44
XX,X,1473105,13,2,2,44
XX,Y,4484035,13,2,2,44
XY,T,7,13,2,2,44
XY,W,17824,13,2,2,44
XY,X,367673,13,2,2,44
XY,Y,1111649,13,2,2,44
XZ,T,2,13,2,2,44
XZ,W,22198,13,2,2,44
XZ,X,186816,13,2,2,44
XZ,Y,809062,13,2,2,44
YX,W,11868,13,2,2,44
YX,X,80005,13,2,2,44
YX,Y,319219,13,2,2,44
YY,T,3,13,2,2,44
YY,W,11887,13,2,2,44
YY,X,540340,13,2,2,44
YY,Y,3896122,13,2,2,44
YZ,W,55,13,2,2,44
YZ,X,12436,13,2,2,44
YZ,Y,13825,13,2,2,44
ZX,W,527,13,2,2,44
ZX,X,58621,13,2,2,44
ZX,Y,146595,13,2,2,44
XX,T,183,14,2,3,45
XX,W,375527,14,2,3,45
XX,X,1460547,14,2,3,45
XX,Y,4471586,14,2,3,45
XY,T,7,14,2,3,45
XY,W,17739,14,2,3,45
XY,X,361989,14,2,3,45
XY,Y,1115407,14,2,3,45
XZ,T,3,14,2,3,45
XZ,W,22112,14,2,3,45
XZ,X,186232,14,2,3,45
XZ,Y,805566,14,2,3,45
YX,W,11923,14,2,3,45
YX,X,79629,14,2,3,45
YX,Y,320436,14,2,3,45
YY,T,1,14,2,3,45
YY,W,8947,14,2,3,45
YY,X,438886,14,2,3,45
YY,Y,3195156,14,2,3,45
YZ,W,43,14,2,3,45
YZ,X,11371,14,2,3,45
YZ,Y,13160,14,2,3,45
